,"time","value"
"1",1996-01,79.35
"2",1996-02,75.78
"3",1996-03,86.32
"4",1996-04,72.6
"5",1996-05,74.86
"6",1996-06,83.81
"7",1996-07,79.8
"8",1996-08,62.41
"9",1996-09,85.41
"10",1996-10,83.11
"11",1996-11,84.21
"12",1996-12,89.7
"13",1997-01,78.64
"14",1997-02,77.42
"15",1997-03,89.86
"16",1997-04,81.27
"17",1997-05,78.68
"18",1997-06,89.51
"19",1997-07,83.67
"20",1997-08,69.8
"21",1997-09,91.09
"22",1997-10,89.43
"23",1997-11,91.04
"24",1997-12,92.87
"25",1998-01,81.87
"26",1998-02,85.36
"27",1998-03,92.98
"28",1998-04,81.09
"29",1998-05,85.64
"30",1998-06,91.14
"31",1998-07,83.46
"32",1998-08,66.37
"33",1998-09,93.34
"34",1998-10,85.93
"35",1998-11,86.81
"36",1998-12,93.3
"37",1999-01,81.59
"38",1999-02,81.77
"39",1999-03,91.24
"40",1999-04,79.45
"41",1999-05,86.99
"42",1999-06,96.6
"43",1999-07,97.99
"44",1999-08,79.13
"45",1999-09,103.56
"46",1999-10,100.89
"47",1999-11,99.4
"48",1999-12,111.8
"49",2000-01,95.3
"50",2000-02,97.77
"51",2000-03,116.23
"52",2000-04,100.98
"53",2000-05,104.07
"54",2000-06,114.64
"55",2000-07,107.62
"56",2000-08,96.12
"57",2000-09,123.5
"58",2000-10,116.12
"59",2000-11,116.86
"60",2000-12,128.61
"61",2001-01,100.56
"62",2001-02,103.05
"63",2001-03,119.06
"64",2001-04,92.46
"65",2001-05,98.75
"66",2001-06,111.14
"67",2001-07,96.13
"68",2001-08,79.72
"69",2001-09,102.07
"70",2001-10,96.18
"71",2001-11,101.26
"72",2001-12,109.85
"73",2002-01,89.52
"74",2002-02,89.27
"75",2002-03,104.35
"76",2002-04,87.05
"77",2002-05,89.33
"78",2002-06,102.2
"79",2002-07,88.13
"80",2002-08,75.68
"81",2002-09,99.48
"82",2002-10,96.4
"83",2002-11,96.16
"84",2002-12,101
"85",2003-01,89.34
"86",2003-02,86.91
"87",2003-03,98.9
"88",2003-04,85.54
"89",2003-05,85.25
"90",2003-06,101.14
"91",2003-07,91.8
"92",2003-08,76.98
"93",2003-09,104.33
"94",2003-10,99.72
"95",2003-11,101.06
"96",2003-12,109
"97",2004-01,89.88
"98",2004-02,92.27
"99",2004-03,105.11
"100",2004-04,91.5
"101",2004-05,92.56
"102",2004-06,104.35
"103",2004-07,96.21
"104",2004-08,79.58
"105",2004-09,105.43
"106",2004-10,99.18
"107",2004-11,99.77
"108",2004-12,113.55
"109",2005-01,91.65
"110",2005-02,90.56
"111",2005-03,105.52
"112",2005-04,92.18
"113",2005-05,91.22
"114",2005-06,109.04
"115",2005-07,99.26
"116",2005-08,83.36
"117",2005-09,110.8
"118",2005-10,104.95
"119",2005-11,107.07
"120",2005-12,114.4
"121",2006-01,99.16
"122",2006-02,99.86
"123",2006-03,116.14
"124",2006-04,103.48
"125",2006-05,103.07
"126",2006-06,119.32
"127",2006-07,107.94
"128",2006-08,90.59
"129",2006-09,121.8
"130",2006-10,117.11
"131",2006-11,113.71
"132",2006-12,120.37
"133",2007-01,103.93
"134",2007-02,104.1
"135",2007-03,125.72
"136",2007-04,104.7
"137",2007-05,108.45
"138",2007-06,123.11
"139",2007-07,108.89
"140",2007-08,94.07
"141",2007-09,121.88
"142",2007-10,116.81
"143",2007-11,115.87
"144",2007-12,127.14
"145",2008-01,109.45
"146",2008-02,105.23
"147",2008-03,121.32
"148",2008-04,108.78
"149",2008-05,103.2
"150",2008-06,117.93
"151",2008-07,103.76
"152",2008-08,89.27
"153",2008-09,109.5
"154",2008-10,104.02
"155",2008-11,100.12
"156",2008-12,101.18
"157",2009-01,77.38
"158",2009-02,75.19
"159",2009-03,86.4
"160",2009-04,74.13
"161",2009-05,74.1
"162",2009-06,85.61
"163",2009-07,79.9
"164",2009-08,65.36
"165",2009-09,88.09
"166",2009-10,84.6
"167",2009-11,88.09
"168",2009-12,102.52
"169",2010-01,79.28
"170",2010-02,78.74
"171",2010-03,94.62
"172",2010-04,84.66
"173",2010-05,85.2
"174",2010-06,103.94
"175",2010-07,89.87
"176",2010-08,78.14
"177",2010-09,96.5
"178",2010-10,94.68
"179",2010-11,101.77
"180",2010-12,103.48
"181",2011-01,92.57
"182",2011-02,89.16
"183",2011-03,104.48
"184",2011-04,89.45
"185",2011-05,93.4
"186",2011-06,102.9
"187",2011-07,93.77
"188",2011-08,77.58
"189",2011-09,95.04
"190",2011-10,91.77
"191",2011-11,93.37
"192",2011-12,98.34
"193",2012-01,86.44
"194",2012-02,85.04
"195",2012-03,97.8
